20200421	HTH	2
20200422	HTH	2
20200423	HTH	2
20200427	LMH	3
20200428	SJL	1
20200429	PEACE	
20200504	LHC	1
20200506	LMH	1
20200507	LMH	2
20200508	HTH	2
20200511	HTH	2
20200512	HTH	1
20200513	HTH	2
20200514	HTH	2
20200515	SJL	2
20200518	SJL	2
20200519	PEACE	
20200520	HTH	3
20200521	PEACE	
20200522	HTH	1
20200525	LHC	2
20200526	SJL	2
20200527	HTH	2
20200528	SJL	2
20200602	SJL	3
20200603	SJL	3
20200604	SJL	2
20200605	SJL	2
20200608	SJL	2
20200609	LMH	3
20200610	PEACE	
20200611	LHC	3
20200612	LMH	3
20200615	HTH	1
20200616	SJL	3
20200617	LHC	3
20200618	LHC	2
20200619	LMH	3
20200622	LMH	3
20200623	SJL	2
20200624	LHC	3
20200625	LMH	2
20200626	HTH	2
20200629	PEACE	
20200630	HTH	2
20200701	HTH	1
20200706	LHC	2
20200707	LMH	2
20200708	HTH	2
20200709	SJL	3
20200713	SJL	3
20200714	LHC	3
20200715	LHC	2
20200716	LHC	2
20200717	HTH	3
20200720	HTH	3
20200722	HTH	3
20200723	HTH	2
20200724	HTH	2
20200727	HTH	3
20200728	LHC	2
20200729	SJL	2
20200730	LMH	3
20200731	LMH	3
20200806	LMH	3
20200810	SJL	2
20200811	SJL	2
20200813	HTH	2
20200814	SJL	2
20200818	HTH	3
